date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:30	126140/126140	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202019%2003:19:42%20GMT	http://www.xywenxin.com/info/18/18.html	C:/My%20Websites/cattea/www.xywenxin.com/info/18/18.html	(from http://www.xywenxin.com/)
11:19:30	21641/21641	---M--	200	added ('OK')	image/jpeg	etag:%225c4a7b7b-5489%22	http://www.xywenxin.com/Uploads/2019-01-25/1548385147918586001451930293.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Uploads/2019-01-25/1548385147918586001451930293.jpg	(from http://www.xywenxin.com/)
11:19:30	20733/20733	---M--	200	added ('OK')	image/jpeg	etag:%225c4a769b-50fd%22	http://www.xywenxin.com/Uploads/2019-01-25/154838389983282400876277329.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Uploads/2019-01-25/154838389983282400876277329.jpg	(from http://www.xywenxin.com/)
11:19:31	3074/3074	---M--	200	added ('OK')	image/png	etag:%225c3be1c8-c02%22	http://www.xywenxin.com/Template/pc/0/resources/images/bt_07.png	C:/My%20Websites/cattea/www.xywenxin.com/Template/pc/0/resources/images/bt_07.png	(from http://www.xywenxin.com/)
11:19:32	14403/14403	---M--	200	added ('OK')	image/jpeg	etag:%225c3e8ac8-3843%22	http://www.xywenxin.com/Uploads/2019-01-16/154760263222686600393089620.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Uploads/2019-01-16/154760263222686600393089620.jpg	(from http://www.xywenxin.com/)
11:19:33	6829/6829	---M--	200	added ('OK')	image/jpeg	etag:%225c416db6-1aad%22	http://www.xywenxin.com/Uploads/2019-01-18/1547791798739281001554352380.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Uploads/2019-01-18/1547791798739281001554352380.jpg	(from http://www.xywenxin.com/)
11:19:34	9248/9248	---M--	200	added ('OK')	image/jpeg	etag:%225c416e30-2420%22	http://www.xywenxin.com/Uploads/2019-01-18/154779192081662500712625004.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Uploads/2019-01-18/154779192081662500712625004.jpg	(from http://www.xywenxin.com/)
11:19:35	24801/24801	---M--	200	added ('OK')	image/jpeg	etag:%225c4ac856-60e1%22	http://www.xywenxin.com/Uploads/2019-01-25/1548404822673789001949253860.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Uploads/2019-01-25/1548404822673789001949253860.jpg	(from http://www.xywenxin.com/)
11:19:36	6256/6256	---M--	200	added ('OK')	image/jpeg	etag:%225c416f45-1870%22	http://www.xywenxin.com/Uploads/2019-01-18/15477921972836060066109898.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Uploads/2019-01-18/15477921972836060066109898.jpg	(from http://www.xywenxin.com/)
11:19:36	11453/11453	---M--	200	added ('OK')	image/jpeg	etag:%225c416ec6-2cbd%22	http://www.xywenxin.com/Uploads/2019-01-18/1547792070565667002121676265.jpg	C:/My%20Websites/cattea/www.xywenxin.com/Uploads/2019-01-18/1547792070565667002121676265.jpg	(from http://www.xywenxin.com/)
